#correcteur=PID,Kp=100.0,Ki=2.0,Kd=8.0
t_s,vitesse_freq_ms,vitesse_periode_ms,consigne_vitesse_ms,distance_m,consigne_dist_m,erreur_m,commande_pwm
1.757,0.0000,0.0000,0.4000,1.3106,0.3000,1.0106,200.0
1.857,1.7383,0.0000,0.4000,1.3171,0.3000,1.0171,200.0
1.957,1.7383,0.8859,0.4000,1.3221,0.3000,1.0221,182.5
2.057,3.4767,2.6406,0.4000,1.3250,0.3000,1.0250,147.5
2.157,1.7383,1.5027,0.4000,1.3173,0.3000,1.0173,0.0
2.257,1.7383,1.3229,0.4000,1.3159,0.3000,1.0159,0.0
2.357,0.0000,1.1017,0.4000,1.3200,0.3000,1.0200,0.0
2.457,0.0000,1.1017,0.4000,1.3164,0.3000,1.0164,0.0
2.557,0.0000,1.1017,0.4000,1.3197,0.3000,1.0197,30.5
2.657,0.0000,1.1017,0.4000,1.3152,0.3000,1.0152,65.5
2.757,0.0000,1.1017,0.4000,1.3154,0.3000,1.0154,100.5
2.857,0.0000,1.1017,0.4000,1.3152,0.3000,1.0152,103.8
2.957,0.0000,1.1017,0.4000,1.3151,0.3000,1.0151,104.7
3.057,0.0000,1.1017,0.4000,1.3109,0.3000,1.0109,103.1
3.158,0.0000,1.1017,0.4000,1.3152,0.3000,1.0152,105.1
3.258,0.0000,1.1017,0.4000,1.3111,0.3000,1.0111,103.5
3.358,0.0000,1.1017,0.4000,1.3157,0.3000,1.0157,104.9
3.458,0.0000,1.1017,0.4000,1.3109,0.3000,1.0109,104.6
3.558,0.0000,1.1017,0.4000,1.3154,0.3000,1.0154,105.3
3.658,0.0000,1.1017,0.4000,1.3108,0.3000,1.0108,105.0
3.758,0.0000,1.1017,0.4000,1.3113,0.3000,1.0113,104.6
3.858,0.0000,1.1017,0.4000,1.3111,0.3000,1.0111,104.8
3.958,0.0000,1.1017,0.4000,1.3151,0.3000,1.0151,106.0
4.058,0.0000,1.1017,0.4000,1.3106,0.3000,1.0106,105.1
4.158,0.0000,1.1017,0.4000,1.3108,0.3000,1.0108,105.4
4.258,0.0000,1.1017,0.4000,1.3154,0.3000,1.0154,107.4
4.358,0.0000,0.0000,0.4000,1.3108,0.3000,1.0108,200.0
4.458,0.0000,0.0000,0.4000,1.3108,0.3000,1.0108,200.0
4.558,0.0000,0.0397,0.4000,1.3154,0.3000,1.0154,165.0
4.658,1.7383,1.4548,0.4000,1.3116,0.3000,1.0116,130.0
4.758,1.7383,1.7607,0.4000,1.3113,0.3000,1.0113,107.4
4.858,1.7383,1.7529,0.4000,1.3067,0.3000,1.0067,106.3
4.958,1.7383,1.8823,0.4000,1.3152,0.3000,1.0152,109.5
5.058,3.4767,2.8918,0.4000,1.3115,0.3000,1.0115,108.0
5.158,0.0000,1.9608,0.4000,1.3108,0.3000,1.0108,107.3
5.258,1.7383,2.9444,0.4000,1.3111,0.3000,1.0111,109.0
5.358,1.7383,1.4573,0.4000,1.3109,0.3000,1.0109,108.4
5.458,3.4767,2.0548,0.4000,1.3109,0.3000,1.0109,109.3
5.558,1.7383,1.5341,0.4000,1.3151,0.3000,1.0151,109.9
5.658,1.7383,2.1249,0.4000,1.3154,0.3000,1.0154,110.2
5.758,3.4767,3.1365,0.4000,1.3156,0.3000,1.0156,109.8
5.858,1.7383,1.5146,0.4000,1.3156,0.3000,1.0156,109.9
5.958,1.7383,3.2563,0.4000,1.3065,0.3000,1.0065,108.5
6.059,1.7043,1.6068,0.4000,1.3068,0.3000,1.0068,108.8
6.159,1.7383,2.2541,0.4000,1.3111,0.3000,1.0111,110.0
6.259,3.4767,3.2553,0.4000,1.3156,0.3000,1.0156,111.5
6.359,1.7383,1.6494,0.4000,1.3152,0.3000,1.0152,111.5
6.459,3.4767,2.2452,0.4000,1.3109,0.3000,1.0109,110.0
6.559,1.7383,2.1253,0.4000,1.3067,0.3000,1.0067,109.0
6.659,1.7383,1.7246,0.4000,1.3154,0.3000,1.0154,111.5
6.759,1.7383,3.3210,0.4000,1.3156,0.3000,1.0156,112.5
6.859,3.4767,2.2013,0.4000,1.3154,0.3000,1.0154,112.6
6.959,1.7383,2.3936,0.4000,1.3109,0.3000,1.0109,109.0
7.059,1.7383,3.5241,0.4000,1.3154,0.3000,1.0154,113.0
7.159,1.7383,2.1660,0.4000,1.3111,0.3000,1.0111,111.3
7.259,3.4767,1.8206,0.4000,1.3154,0.3000,1.0154,112.7
7.359,3.4767,2.4026,0.4000,1.3157,0.3000,1.0157,113.7
7.459,1.7383,2.2996,0.4000,1.3108,0.3000,1.0108,111.9
7.560,1.7383,1.8393,0.4000,1.3157,0.3000,1.0157,113.4
7.660,3.4767,2.4925,0.4000,1.3109,0.3000,1.0109,113.1
7.760,3.4767,3.6210,0.4000,1.3113,0.3000,1.0113,113.4
7.860,1.7383,1.8766,0.4000,1.3154,0.3000,1.0154,113.9
7.960,1.7383,2.5890,0.4000,1.3197,0.3000,1.0197,115.3
8.060,1.7383,3.6786,0.4000,1.3067,0.3000,1.0067,112.0
8.160,3.4767,2.4553,0.4000,1.3109,0.3000,1.0109,113.5
8.260,1.7383,1.8251,0.4000,1.3111,0.3000,1.0111,112.9
8.360,1.7383,2.7027,0.4000,1.3202,0.3000,1.0202,116.2
8.460,3.4767,3.7125,0.4000,1.3113,0.3000,1.0113,114.1
8.560,3.4767,2.4868,0.4000,1.3156,0.3000,1.0156,116.1
8.660,3.4767,1.9479,0.4000,1.3193,0.3000,1.0193,115.8
8.760,3.4767,2.6889,0.4000,1.3190,0.3000,1.0190,117.5
8.860,3.4767,3.9973,0.4000,1.3154,0.3000,1.0154,116.1
8.960,3.4767,2.4768,0.4000,1.3156,0.3000,1.0156,116.9
9.060,3.4767,1.9946,0.4000,1.3156,0.3000,1.0156,116.5
9.160,3.4767,2.7467,0.4000,1.3108,0.3000,1.0108,116.2
9.260,3.4767,3.8761,0.4000,1.3156,0.3000,1.0156,117.6
9.360,3.4767,2.6011,0.4000,1.3152,0.3000,1.0152,117.7
9.460,1.7383,1.9675,0.4000,1.3152,0.3000,1.0152,117.2
9.560,1.7383,2.7908,0.4000,1.3104,0.3000,1.0104,116.9
9.660,3.4767,4.1468,0.4000,1.3197,0.3000,1.0197,118.7
9.760,3.4767,4.1884,0.4000,1.3109,0.3000,1.0109,116.0
9.860,1.7383,2.0794,0.4000,1.3109,0.3000,1.0109,116.9
9.960,3.4767,2.0855,0.4000,1.3113,0.3000,1.0113,117.9
10.060,3.4767,2.8161,0.4000,1.3156,0.3000,1.0156,118.5
10.160,3.4767,4.2935,0.4000,1.3108,0.3000,1.0108,118.1
10.260,1.7383,2.6291,0.4000,1.3106,0.3000,1.0106,117.6
10.360,1.7383,2.1339,0.4000,1.3106,0.3000,1.0106,117.8
10.461,3.4767,2.1570,0.4000,1.3157,0.3000,1.0157,119.2
10.561,1.7383,2.8716,0.4000,1.3157,0.3000,1.0157,118.8
10.661,5.2150,2.9572,0.4000,1.3159,0.3000,1.0159,119.8
10.761,3.4767,4.2715,0.4000,1.3200,0.3000,1.0200,121.0
10.861,3.4767,2.4317,0.4000,1.3151,0.3000,1.0151,0.0
10.961,1.7383,2.2950,0.4000,1.3154,0.3000,1.0154,0.0
11.061,1.7383,1.5225,0.4000,1.3116,0.3000,1.0116,14.0
11.161,1.7383,1.1599,0.4000,1.3157,0.3000,1.0157,49.0
11.261,0.0000,1.1599,0.4000,1.3156,0.3000,1.0156,84.0
11.361,0.0000,0.6959,0.4000,1.3157,0.3000,1.0157,119.0
11.461,1.7383,1.4686,0.4000,1.3200,0.3000,1.0200,0.0
11.561,0.0000,1.4686,0.4000,1.3113,0.3000,1.0113,0.0
11.661,0.0000,1.4686,0.4000,1.3156,0.3000,1.0156,17.0
11.761,0.0000,1.4686,0.4000,1.3159,0.3000,1.0159,52.0
11.862,0.0000,1.4686,0.4000,1.3200,0.3000,1.0200,87.3
11.962,0.0000,1.4686,0.4000,0.5701,0.3000,0.2701,-71.7
12.062,0.0000,1.4686,0.4000,0.5702,0.3000,0.2702,0.0
12.162,0.0000,1.4686,0.4000,0.5701,0.3000,0.2701,0.0
12.262,0.0000,1.4686,0.4000,1.3157,0.3000,1.0157,33.3
12.362,0.0000,1.4686,0.4000,0.5702,0.3000,0.2702,0.0
12.462,0.0000,1.4686,0.4000,0.5742,0.3000,0.2742,0.0
12.562,0.0000,1.4686,0.4000,1.3157,0.3000,1.0157,18.2
12.662,0.0000,1.4686,0.4000,1.3157,0.3000,1.0157,53.2
12.762,0.0000,1.4686,0.4000,0.5701,0.3000,0.2701,0.0
12.862,0.0000,1.4686,0.4000,0.5732,0.3000,0.2732,-70.0
12.962,0.0000,1.4686,0.4000,1.3197,0.3000,1.0197,0.0
13.062,0.0000,1.4686,0.4000,1.3154,0.3000,1.0154,0.0
13.162,0.0000,1.4686,0.4000,0.5958,0.3000,0.2958,-63.5
13.262,0.0000,1.4686,0.4000,1.3159,0.3000,1.0159,0.0
13.362,0.0000,1.4686,0.4000,1.3247,0.3000,1.0247,6.5
13.462,0.0000,0.0000,0.4000,1.3202,0.3000,1.0202,200.0
13.562,0.0000,0.0000,0.4000,1.3245,0.3000,1.0245,200.0
13.662,1.7383,0.0401,0.4000,1.3163,0.3000,1.0163,182.5
13.762,1.7383,0.8451,0.4000,1.3193,0.3000,1.0193,147.5
13.862,1.7383,1.7926,0.4000,1.3200,0.3000,1.0200,125.5
13.962,1.7383,1.4003,0.4000,1.3154,0.3000,1.0154,124.5
14.062,1.7383,2.0642,0.4000,1.3197,0.3000,1.0197,125.9
14.162,1.7383,1.8540,0.4000,0.5699,0.3000,0.2699,0.0
14.262,1.7383,1.4548,0.4000,1.3154,0.3000,1.0154,0.0
14.362,1.7383,0.7166,0.4000,1.3156,0.3000,1.0156,18.4
14.462,0.0000,0.7166,0.4000,1.3152,0.3000,1.0152,53.4
14.562,0.0000,0.7166,0.4000,1.3200,0.3000,1.0200,88.4
14.662,0.0000,0.3843,0.4000,1.3157,0.3000,1.0157,123.4
14.763,1.7043,0.6310,0.4000,1.3156,0.3000,1.0156,126.0
14.863,1.7383,0.7392,0.4000,1.3156,0.3000,1.0156,126.2
14.963,1.7383,0.7557,0.4000,1.3195,0.3000,1.0195,128.2
15.063,1.7383,1.1711,0.4000,1.3202,0.3000,1.0202,127.8
15.163,1.7383,1.4703,0.4000,1.3204,0.3000,1.0204,128.0
15.263,0.0000,1.1761,0.4000,1.3202,0.3000,1.0202,129.0
15.363,1.7383,1.8246,0.4000,1.3202,0.3000,1.0202,128.4
15.463,1.7383,1.8354,0.4000,1.3163,0.3000,1.0163,127.6
15.563,1.7383,2.0744,0.4000,1.3200,0.3000,1.0200,129.4
15.663,3.4767,3.2553,0.4000,1.3204,0.3000,1.0204,129.8
15.763,1.7383,1.7005,0.4000,1.3200,0.3000,1.0200,129.2
15.863,1.7383,2.4008,0.4000,1.3159,0.3000,1.0159,128.4
15.963,3.4767,3.6898,0.4000,1.3202,0.3000,1.0202,130.4
16.063,1.7383,1.8903,0.4000,1.3115,0.3000,1.0115,128.3
16.163,1.7383,2.6790,0.4000,1.3156,0.3000,1.0156,129.6
16.264,3.4767,2.7030,0.4000,1.3233,0.3000,1.0233,131.1
16.364,3.4767,4.1177,0.4000,1.3199,0.3000,1.0199,130.4
16.464,3.4767,2.6457,0.4000,1.3151,0.3000,1.0151,129.4
16.564,1.7383,2.1362,0.4000,1.3205,0.3000,1.0205,131.8
16.664,1.7383,2.9652,0.4000,1.3157,0.3000,1.0157,130.0
16.764,3.4767,3.0429,0.4000,1.3202,0.3000,1.0202,131.3
16.864,3.4767,4.4849,0.4000,1.3159,0.3000,1.0159,131.8
16.964,3.4767,4.5279,0.4000,1.3204,0.3000,1.0204,131.8
17.064,3.4767,2.9093,0.4000,1.3157,0.3000,1.0157,130.7
17.164,1.7383,2.3509,0.4000,1.3157,0.3000,1.0157,130.4
17.264,3.4767,2.3751,0.4000,1.3317,0.3000,1.0317,135.5
17.364,3.4767,2.3792,0.4000,1.3202,0.3000,1.0202,132.0
17.464,1.7383,3.2134,0.4000,1.3111,0.3000,1.0111,131.1
17.564,3.4767,3.1657,0.4000,1.3207,0.3000,1.0207,134.5
17.664,3.4767,3.3074,0.4000,1.3204,0.3000,1.0204,133.8
17.764,3.4767,4.8148,0.4000,1.3231,0.3000,1.0231,134.8
17.864,3.4767,4.9239,0.4000,1.3157,0.3000,1.0157,133.1
17.964,3.4767,4.9239,0.4000,1.3200,0.3000,1.0200,133.7
18.064,3.4767,2.9128,0.4000,1.3199,0.3000,1.0199,132.7
18.164,3.4767,2.7067,0.4000,1.3199,0.3000,1.0199,0.0
18.264,0.0000,2.7467,0.4000,1.3157,0.3000,1.0157,0.4
18.364,1.7383,2.5868,0.4000,1.3152,0.3000,1.0152,35.4
18.464,0.0000,1.7009,0.4000,1.3108,0.3000,1.0108,70.4
18.564,1.7383,1.3250,0.4000,1.3197,0.3000,1.0197,105.4
18.664,1.7383,1.4417,0.4000,1.3204,0.3000,1.0204,135.2
18.764,1.7383,1.0932,0.4000,1.3151,0.3000,1.0151,135.4
18.864,1.7383,1.8921,0.4000,1.3154,0.3000,1.0154,135.0
18.964,1.7383,1.3809,0.4000,1.3156,0.3000,1.0156,135.9
19.064,1.7383,2.1902,0.4000,1.3145,0.3000,1.0145,134.6
19.165,3.4767,3.4273,0.4000,1.3111,0.3000,1.0111,134.6
19.265,1.7383,1.8126,0.4000,1.3147,0.3000,1.0147,136.4
19.365,1.7383,2.5998,0.4000,1.3144,0.3000,1.0144,135.2
19.465,1.7383,3.8844,0.4000,1.3145,0.3000,1.0145,136.1
19.565,1.7383,2.5017,0.4000,1.3152,0.3000,1.0152,136.5
19.665,1.7383,2.1088,0.4000,1.3103,0.3000,1.0103,135.4
19.765,3.4767,2.1975,0.4000,1.3103,0.3000,1.0103,137.1
19.865,1.7383,2.9734,0.4000,1.3147,0.3000,1.0147,137.0
19.965,3.4767,3.1423,0.4000,1.3147,0.3000,1.0147,137.1
20.065,3.4767,4.4840,0.4000,1.3061,0.3000,1.0061,135.9
20.165,3.4767,4.7269,0.4000,1.3149,0.3000,1.0149,138.3
20.265,3.4767,2.9738,0.4000,1.3147,0.3000,1.0147,138.4
20.365,3.4767,3.1292,0.4000,1.3056,0.3000,1.0056,135.6
20.465,3.4767,3.1401,0.4000,1.3144,0.3000,1.0144,138.8
20.566,1.7043,2.4606,0.4000,1.3012,0.3000,1.0012,134.2
20.666,1.7383,2.5740,0.4000,1.3060,0.3000,1.0060,138.5
20.766,3.4767,2.4695,0.4000,1.3149,0.3000,1.0149,140.9
20.866,3.4767,2.5697,0.4000,1.3147,0.3000,1.0147,139.0
20.966,3.4767,2.5667,0.4000,1.3147,0.3000,1.0147,139.2
21.066,3.4767,2.6167,0.4000,1.3149,0.3000,1.0149,140.7
21.166,3.4767,2.6889,0.4000,1.3151,0.3000,1.0151,138.9
21.266,3.4767,2.6717,0.4000,1.3058,0.3000,1.0058,138.1
21.366,3.4767,2.7485,0.4000,1.3103,0.3000,1.0103,140.2
21.466,3.4767,2.6893,0.4000,1.3106,0.3000,1.0106,139.1
21.566,3.4767,2.8031,0.4000,1.3056,0.3000,1.0056,138.6
21.666,1.7383,2.6896,0.4000,1.3147,0.3000,1.0147,140.6
21.766,3.4767,3.5008,0.4000,1.3101,0.3000,1.0101,137.7
21.866,3.4767,3.4617,0.4000,1.3097,0.3000,1.0097,139.7
21.966,3.4767,3.5751,0.4000,1.3147,0.3000,1.0147,141.2
22.066,5.2150,5.4914,0.4000,1.3104,0.3000,1.0104,141.7
22.166,5.2150,5.6646,0.4000,1.3151,0.3000,1.0151,141.7
22.266,3.4767,5.5946,0.4000,1.3103,0.3000,1.0103,140.6
22.366,5.2150,3.9322,0.4000,1.3151,0.3000,1.0151,142.1
22.466,5.2150,3.8108,0.4000,1.3262,0.3000,1.0262,144.8
22.566,3.4767,3.8391,0.4000,1.3149,0.3000,1.0149,142.4
22.666,3.4767,3.9244,0.4000,1.3106,0.3000,1.0106,140.4
22.766,3.4767,2.7530,0.4000,1.3195,0.3000,1.0195,144.7
22.866,3.4767,2.8892,0.4000,1.3111,0.3000,1.0111,142.2
22.966,3.4767,2.8686,0.4000,1.3149,0.3000,1.0149,143.2
23.066,3.4767,3.5172,0.4000,1.3154,0.3000,1.0154,142.8
23.166,3.4767,3.7536,0.4000,1.3149,0.3000,1.0149,145.0
23.266,5.2150,5.9943,0.4000,1.0038,0.3000,0.7038,124.0
23.366,3.4767,5.8162,0.4000,1.3113,0.3000,1.0113,124.0
23.467,3.4085,5.4432,0.4000,0.9904,0.3000,0.6904,123.7
23.567,3.4767,5.5095,0.4000,1.3113,0.3000,1.0113,144.7
23.667,3.4767,5.0580,0.4000,1.3157,0.3000,1.0157,146.1
23.767,3.4767,4.9542,0.4000,1.3159,0.3000,1.0159,145.6
23.867,3.4767,5.3507,0.4000,1.3072,0.3000,1.0072,141.8
23.967,3.4767,5.4569,0.4000,1.3157,0.3000,1.0157,145.9
24.067,3.4767,5.5390,0.4000,0.6347,0.3000,0.3347,-31.0
24.167,3.4767,4.6690,0.4000,1.3192,0.3000,1.0192,4.0
24.267,1.7383,1.9054,0.4000,1.3147,0.3000,1.0147,39.0
24.367,1.7383,2.1825,0.4000,1.3106,0.3000,1.0106,74.0
24.467,1.7383,1.8448,0.4000,1.3145,0.3000,1.0145,109.0
24.567,1.7383,1.9942,0.4000,1.3221,0.3000,1.0221,144.0
24.667,3.4767,3.2617,0.4000,1.3149,0.3000,1.0149,147.1
24.767,1.7383,1.7939,0.4000,1.3152,0.3000,1.0152,147.4
24.867,1.7383,2.6104,0.4000,1.3147,0.3000,1.0147,146.1
