#correcteur=PID,Kp=100.0,Ki=50.0,Kd=0.0
t_s,vitesse_freq_ms,vitesse_periode_ms,consigne_vitesse_ms,distance_m,consigne_dist_m,erreur_m,commande_pwm
1.541,0.0000,0.0000,0.4000,1.3111,0.3000,1.0111,200.0
1.641,0.0000,0.0000,0.4000,1.3108,0.3000,1.0108,200.0
1.741,1.7383,1.7853,0.4000,1.3109,0.3000,1.0109,182.5
1.842,0.0000,1.5021,0.4000,1.3065,0.3000,1.0065,147.1
1.942,3.4767,2.9046,0.4000,1.3109,0.3000,1.0109,126.4
2.042,1.7383,1.5765,0.4000,1.3108,0.3000,1.0108,131.4
2.142,1.7383,3.0962,0.4000,1.3065,0.3000,1.0065,136.0
2.242,3.4767,2.2408,0.4000,1.3103,0.3000,1.0103,141.4
2.342,1.7383,2.4165,0.4000,1.3145,0.3000,1.0145,146.9
2.442,3.4767,2.5930,0.4000,1.3063,0.3000,1.0063,151.1
2.542,3.4767,4.2935,0.4000,1.3061,0.3000,1.0061,156.1
2.642,3.4767,2.7312,0.4000,1.3061,0.3000,1.0061,161.2
2.742,1.7383,2.3931,0.4000,1.2969,0.3000,0.9969,165.2
2.842,3.4767,2.4839,0.4000,1.3101,0.3000,1.0101,171.6
2.942,3.4767,2.5406,0.4000,1.3020,0.3000,1.0020,175.8
3.042,3.4767,2.7247,0.4000,1.3013,0.3000,1.0013,180.8
3.142,1.7383,2.8796,0.4000,1.3061,0.3000,1.0061,186.3
3.243,3.4085,3.7902,0.4000,1.2924,0.3000,0.9924,190.0
3.343,5.2150,6.3185,0.4000,1.3101,0.3000,1.0101,196.7
3.443,5.2150,4.5100,0.4000,1.3020,0.3000,1.0020,201.0
3.543,5.2150,3.3079,0.4000,1.3108,0.3000,1.0108,206.9
3.643,3.4767,4.2977,0.4000,0.9774,0.3000,0.6774,175.9
3.743,5.2150,4.7043,0.4000,1.3108,0.3000,1.0108,210.9
3.843,5.2150,3.6191,0.4000,1.3060,0.3000,1.0060,210.9
3.943,5.2150,7.7109,0.4000,1.3103,0.3000,1.0103,223.6
4.043,5.2150,5.3879,0.4000,1.3015,0.3000,1.0015,227.7
4.143,5.2150,5.0045,0.4000,1.2974,0.3000,0.9974,232.3
4.243,6.9534,5.3442,0.4000,1.3020,0.3000,1.0020,232.3
4.343,5.2150,4.9792,0.4000,1.0033,0.3000,0.7033,223.3
4.443,5.2150,5.6105,0.4000,1.3067,0.3000,1.0067,246.8
4.543,5.2150,5.3613,0.4000,0.6044,0.3000,0.3044,231.8
4.643,6.9534,4.2366,0.4000,1.3109,0.3000,1.0109,231.8
4.744,5.2150,8.4847,0.4000,0.5642,0.3000,0.2642,196.4
4.844,3.4767,4.1860,0.4000,1.0811,0.3000,0.7811,201.7
4.944,6.9534,5.4734,0.4000,0.6174,0.3000,0.3174,201.7
5.044,5.2150,5.1984,0.4000,1.2974,0.3000,0.9974,236.7
5.144,5.2150,5.7424,0.4000,1.2808,0.3000,0.9808,254.3
5.244,5.2150,8.9902,0.4000,0.6989,0.3000,0.3989,237.5
5.344,5.2150,4.4138,0.4000,1.2844,0.3000,0.9844,255.0
5.444,6.9534,6.2711,0.4000,1.3226,0.3000,1.0226,255.0
5.544,6.9534,9.3419,0.4000,0.6273,0.3000,0.3273,237.5
5.644,5.2150,4.3191,0.4000,1.3108,0.3000,1.0108,255.0
5.744,5.2150,6.3573,0.4000,1.3188,0.3000,1.0188,255.0
5.844,5.2150,9.5262,0.4000,1.2989,0.3000,0.9989,255.0
5.944,5.2150,6.0494,0.4000,0.6788,0.3000,0.3788,239.9
6.044,5.2150,4.6490,0.4000,0.5855,0.3000,0.2855,237.5
6.144,5.2150,6.1574,0.4000,1.3020,0.3000,1.0020,255.0
6.244,6.9534,6.4941,0.4000,0.6316,0.3000,0.3316,245.8
6.344,5.2150,9.7572,0.4000,1.2840,0.3000,0.9840,255.0
6.444,5.2150,6.0092,0.4000,0.6243,0.3000,0.3243,252.7
6.544,5.2150,4.7809,0.4000,0.9856,0.3000,0.6856,255.0
6.644,6.9534,4.8212,0.4000,1.3061,0.3000,1.0061,255.0
6.744,5.2150,6.7925,0.4000,1.3060,0.3000,1.0060,255.0
6.844,6.9534,6.8938,0.4000,0.7632,0.3000,0.4632,255.0
6.944,6.9534,6.8807,0.4000,1.3061,0.3000,1.0061,255.0
7.044,6.9534,6.9378,0.4000,1.0244,0.3000,0.7244,255.0
7.144,6.9534,6.9378,0.4000,1.3140,0.3000,1.0140,255.0
