#correcteur=PID,Kp=10.0,Ki=0.0,Kd=0.0
t_s,vitesse_freq_ms,vitesse_periode_ms,consigne_vitesse_ms,distance_m,consigne_dist_m,erreur_m,commande_pwm
4.357,0.0000,0.0000,1.0000,1.3199,0.3000,1.0199,200.0
4.457,0.0000,0.0000,1.0000,1.3235,0.3000,1.0235,200.0
4.557,1.7383,1.8623,1.0000,1.3226,0.3000,1.0226,182.5
4.658,1.7383,1.3877,1.0000,1.3231,0.3000,1.0231,147.1
4.758,3.4767,2.3532,1.0000,1.3230,0.3000,1.0230,112.1
4.858,3.4767,2.0589,1.0000,1.3200,0.3000,1.0200,77.1
4.958,1.7383,2.4130,1.0000,1.3183,0.3000,1.0183,42.1
5.058,3.4767,2.8625,1.0000,1.3154,0.3000,1.0154,10.2
5.158,0.0000,1.9022,1.0000,1.3149,0.3000,1.0149,10.1
5.258,1.7383,1.2256,1.0000,1.3266,0.3000,1.0266,10.3
5.358,0.0000,1.5128,1.0000,1.3231,0.3000,1.0231,10.2
5.458,3.4767,1.5128,1.0000,1.3221,0.3000,1.0221,10.2
5.558,0.0000,1.5128,1.0000,1.3199,0.3000,1.0199,10.2
5.658,0.0000,1.5128,1.0000,1.3197,0.3000,1.0197,10.2
5.758,0.0000,1.5128,1.0000,1.3195,0.3000,1.0195,10.2
5.858,0.0000,1.5128,1.0000,1.3195,0.3000,1.0195,10.2
5.958,0.0000,1.5128,1.0000,1.3233,0.3000,1.0233,10.2
6.059,0.0000,1.5128,1.0000,1.3233,0.3000,1.0233,10.2
6.159,0.0000,1.5128,1.0000,1.3236,0.3000,1.0236,10.2
6.259,0.0000,1.5128,1.0000,1.3233,0.3000,1.0233,10.2
6.359,0.0000,1.5128,1.0000,1.3188,0.3000,1.0188,10.2
6.459,0.0000,1.5128,1.0000,1.3238,0.3000,1.0238,10.2
6.559,0.0000,1.5128,1.0000,1.3154,0.3000,1.0154,10.2
6.659,0.0000,1.5128,1.0000,1.3195,0.3000,1.0195,10.2
6.759,0.0000,1.5128,1.0000,1.3195,0.3000,1.0195,10.2
6.859,0.0000,1.5128,1.0000,1.3147,0.3000,1.0147,10.1
6.959,0.0000,1.5128,1.0000,1.3147,0.3000,1.0147,10.1
7.059,0.0000,1.5128,1.0000,1.3151,0.3000,1.0151,10.2
7.159,0.0000,1.5128,1.0000,1.3151,0.3000,1.0151,10.2
7.259,0.0000,1.5128,1.0000,1.3187,0.3000,1.0187,10.2
7.359,0.0000,1.5128,1.0000,1.3151,0.3000,1.0151,10.2
7.459,0.0000,0.0000,1.0000,1.3231,0.3000,1.0231,200.0
7.560,0.0000,0.0000,1.0000,1.3197,0.3000,1.0197,200.0
7.660,1.7383,1.2141,1.0000,1.3151,0.3000,1.0151,182.5
7.760,1.7383,1.8362,1.0000,1.3219,0.3000,1.0219,147.5
7.860,1.7383,1.9754,1.0000,1.3226,0.3000,1.0226,112.5
7.960,1.7383,1.7240,1.0000,1.3188,0.3000,1.0188,77.5
8.060,3.4767,2.2777,1.0000,1.3190,0.3000,1.0190,42.5
8.160,1.7383,1.5349,1.0000,1.3147,0.3000,1.0147,10.1
8.260,1.7383,1.5189,1.0000,1.3190,0.3000,1.0190,10.2
8.360,1.7383,0.8519,1.0000,1.3188,0.3000,1.0188,10.2
8.460,0.0000,0.8519,1.0000,1.3187,0.3000,1.0187,10.2
8.560,0.0000,0.6804,1.0000,1.3190,0.3000,1.0190,10.2
8.660,0.0000,0.6804,1.0000,1.3193,0.3000,1.0193,10.2
8.760,0.0000,0.6804,1.0000,1.3188,0.3000,1.0188,10.2
8.860,0.0000,0.6804,1.0000,1.3228,0.3000,1.0228,10.2
8.960,0.0000,0.6804,1.0000,1.3188,0.3000,1.0188,10.2
9.060,0.0000,0.6804,1.0000,1.3188,0.3000,1.0188,10.2
9.160,0.0000,0.6804,1.0000,1.3224,0.3000,1.0224,10.2
9.260,0.0000,0.6804,1.0000,1.3223,0.3000,1.0223,10.2
9.360,0.0000,0.6804,1.0000,1.3272,0.3000,1.0272,10.3
9.460,0.0000,0.6804,1.0000,1.3231,0.3000,1.0231,10.2
9.560,0.0000,0.6804,1.0000,1.3192,0.3000,1.0192,10.2
9.660,0.0000,0.6804,1.0000,1.3236,0.3000,1.0236,10.2
9.760,0.0000,0.6804,1.0000,1.3236,0.3000,1.0236,10.2
9.860,0.0000,0.6804,1.0000,1.3192,0.3000,1.0192,10.2
9.960,0.0000,0.6804,1.0000,1.3283,0.3000,1.0283,10.3
10.060,0.0000,0.6804,1.0000,1.3235,0.3000,1.0235,10.2
10.160,0.0000,0.6804,1.0000,1.3235,0.3000,1.0235,10.2
