#correcteur=PID,Kp=50.0,Ki=8.0,Kd=5.0
t_s,vitesse_freq_ms,vitesse_periode_ms,consigne_vitesse_ms,distance_m,consigne_dist_m,erreur_m,commande_pwm
3.300,0.0000,0.0000,0.4000,1.3075,0.3000,1.0075,200.0
3.400,0.0000,0.0000,0.4000,1.3036,0.3000,1.0036,200.0
3.500,0.0000,0.0000,0.4000,1.2989,0.3000,0.9989,200.0
3.600,5.2150,2.7322,0.4000,1.3075,0.3000,1.0075,165.0
3.700,1.7383,1.5809,0.4000,1.3034,0.3000,1.0034,130.0
3.800,3.4767,2.2344,0.4000,1.3034,0.3000,1.0034,95.0
3.900,3.4767,2.0283,0.4000,1.3025,0.3000,1.0025,60.0
4.000,1.7383,1.9824,0.4000,1.3025,0.3000,1.0025,56.6
4.100,1.7383,1.5956,0.4000,1.3027,0.3000,1.0027,57.4
4.200,1.7383,1.4023,0.4000,1.3073,0.3000,1.0073,58.8
4.300,1.7383,0.9149,0.4000,1.3072,0.3000,1.0072,59.2
4.400,1.7383,1.0008,0.4000,1.3073,0.3000,1.0073,60.0
4.500,0.0000,1.3879,0.4000,1.3073,0.3000,1.0073,60.8
4.600,0.0000,0.8539,0.4000,1.3070,0.3000,1.0070,62.0
4.701,1.7383,0.5176,0.4000,1.3073,0.3000,1.0073,62.4
4.801,0.0000,0.5176,0.4000,1.3072,0.3000,1.0072,63.2
4.901,1.7383,0.5471,0.4000,1.3075,0.3000,1.0075,64.5
5.001,1.7383,0.7564,0.4000,1.3075,0.3000,1.0075,64.9
5.101,0.0000,0.7564,0.4000,1.3113,0.3000,1.0113,66.2
5.201,1.7383,0.4420,0.4000,1.3073,0.3000,1.0073,66.5
5.301,0.0000,0.4420,0.4000,1.3075,0.3000,1.0075,67.3
5.401,0.0000,0.4420,0.4000,1.3077,0.3000,1.0077,68.1
5.501,0.0000,0.3393,0.4000,1.3077,0.3000,1.0077,68.9
5.601,0.0000,0.3393,0.4000,1.3116,0.3000,1.0116,70.3
5.701,0.0000,0.4643,0.4000,1.3077,0.3000,1.0077,70.5
5.801,0.0000,0.7303,0.4000,1.3075,0.3000,1.0075,71.3
5.901,0.0000,0.7303,0.4000,1.3027,0.3000,1.0027,71.4
6.001,0.0000,0.4914,0.4000,1.3073,0.3000,1.0073,72.9
6.102,0.0000,0.4914,0.4000,1.3072,0.3000,1.0072,73.7
6.202,0.0000,0.4119,0.4000,1.3029,0.3000,1.0029,74.3
6.302,1.7383,0.6155,0.4000,1.3073,0.3000,1.0073,76.3
6.402,0.0000,0.9593,0.4000,1.3075,0.3000,1.0075,76.2
6.502,1.7383,0.6564,0.4000,1.3072,0.3000,1.0072,76.9
6.602,0.0000,0.6564,0.4000,1.3072,0.3000,1.0072,77.8
6.702,0.0000,0.5233,0.4000,1.3070,0.3000,1.0070,78.6
6.802,1.7383,0.7477,0.4000,1.3070,0.3000,1.0070,78.9
6.902,0.0000,1.2265,0.4000,1.3111,0.3000,1.0111,80.3
7.002,0.0000,0.8041,0.4000,1.3070,0.3000,1.0070,80.9
7.102,1.7383,0.6606,0.4000,1.3156,0.3000,1.0156,82.2
7.202,1.7383,0.8684,0.4000,1.3072,0.3000,1.0072,81.7
7.302,0.0000,1.4826,0.4000,1.3152,0.3000,1.0152,84.6
7.402,0.0000,0.9400,0.4000,1.3154,0.3000,1.0154,85.4
7.502,0.0000,0.7583,0.4000,1.3121,0.3000,1.0121,85.7
7.602,1.7383,1.6113,0.4000,1.3077,0.3000,1.0077,85.8
7.702,1.7383,1.0595,0.4000,1.3077,0.3000,1.0077,86.7
7.802,1.7383,0.8559,0.4000,1.3075,0.3000,1.0075,87.4
7.902,1.7383,1.7480,0.4000,1.3073,0.3000,1.0073,88.2
8.002,1.7383,1.1784,0.4000,1.3032,0.3000,1.0032,88.4
8.102,1.7383,0.9260,0.4000,1.3032,0.3000,1.0032,89.7
8.202,1.7383,1.9379,0.4000,1.3029,0.3000,1.0029,90.0
8.302,0.0000,1.2913,0.4000,1.3080,0.3000,1.0080,92.4
8.402,0.0000,0.9797,0.4000,1.3036,0.3000,1.0036,92.5
8.502,0.0000,2.0868,0.4000,1.3029,0.3000,1.0029,92.8
8.602,1.7383,1.0414,0.4000,1.3031,0.3000,1.0031,93.7
8.702,3.4767,2.2139,0.4000,1.2989,0.3000,0.9989,93.9
