#correcteur=PID,Kp=100.0,Ki=50.0,Kd=70.0
t_s,vitesse_freq_ms,vitesse_periode_ms,consigne_vitesse_ms,distance_m,consigne_dist_m,erreur_m,commande_pwm
2.262,0.0000,0.0000,0.4000,1.3013,0.3000,1.0013,200.0
2.362,1.7383,0.0000,0.4000,1.3029,0.3000,1.0029,200.0
2.462,1.7383,1.3328,0.4000,1.3022,0.3000,1.0022,165.0
2.562,1.7383,1.2405,0.4000,1.3013,0.3000,1.0013,130.0
2.662,1.7383,2.0540,0.4000,1.3063,0.3000,1.0063,126.2
2.762,1.7383,2.0706,0.4000,1.2971,0.3000,0.9971,129.8
2.862,0.0000,2.2418,0.4000,1.3015,0.3000,1.0015,129.0
2.962,3.4767,2.5028,0.4000,1.2929,0.3000,0.9929,126.9
3.062,3.4767,3.9580,0.4000,1.3013,0.3000,1.0013,145.0
3.162,1.7383,2.0934,0.4000,1.2928,0.3000,0.9928,137.1
3.262,3.4767,2.2555,0.4000,1.2974,0.3000,0.9974,154.8
3.362,1.7383,3.2456,0.4000,1.2972,0.3000,0.9972,153.3
3.462,3.4767,3.3606,0.4000,1.2976,0.3000,0.9976,171.0
3.562,3.4767,3.5315,0.4000,1.3056,0.3000,1.0056,170.1
3.662,3.4767,3.6270,0.4000,1.3104,0.3000,1.0104,184.7
3.762,3.4767,4.0547,0.4000,1.2977,0.3000,0.9977,168.8
3.862,3.4767,3.0357,0.4000,1.3063,0.3000,1.0063,186.0
3.962,3.4767,3.1158,0.4000,1.3106,0.3000,1.0106,199.6
4.062,5.2150,6.5747,0.4000,1.3019,0.3000,1.0019,199.6
4.162,5.2150,4.7269,0.4000,1.3104,0.3000,1.0104,207.0
4.262,5.2150,3.6023,0.4000,1.3061,0.3000,1.0061,205.4
4.362,3.4767,3.9166,0.4000,1.2929,0.3000,0.9929,0.0
4.462,3.4767,3.0472,0.4000,1.3017,0.3000,1.0017,0.0
4.562,1.7383,2.0181,0.4000,1.3065,0.3000,1.0065,0.0
4.662,1.7383,2.2924,0.4000,1.3065,0.3000,1.0065,0.0
4.762,1.7383,1.6306,0.4000,1.3065,0.3000,1.0065,0.0
4.862,1.7383,1.2914,0.4000,1.3061,0.3000,1.0061,0.0
4.962,0.0000,1.2914,0.4000,1.3060,0.3000,1.0060,0.0
5.062,0.0000,0.6782,0.4000,1.3061,0.3000,1.0061,0.0
5.163,0.0000,0.6782,0.4000,1.3063,0.3000,1.0063,0.0
5.263,0.0000,0.6782,0.4000,1.3067,0.3000,1.0067,0.0
5.363,0.0000,0.6782,0.4000,1.3103,0.3000,1.0103,0.0
5.463,0.0000,0.6782,0.4000,1.3065,0.3000,1.0065,0.0
5.563,0.0000,0.6782,0.4000,1.3061,0.3000,1.0061,0.0
5.663,0.0000,0.6782,0.4000,1.3063,0.3000,1.0063,0.0
5.763,0.0000,0.6782,0.4000,0.5870,0.3000,0.2870,-800.9
5.863,0.0000,0.6782,0.4000,0.6032,0.3000,0.3032,0.0
5.963,0.0000,0.6782,0.4000,1.3103,0.3000,1.0103,0.0
6.063,0.0000,0.6782,0.4000,1.3063,0.3000,1.0063,0.0
6.163,0.0000,0.6782,0.4000,1.3015,0.3000,1.0015,0.0
6.263,0.0000,0.6782,0.4000,1.3058,0.3000,1.0058,0.0
6.363,0.0000,0.6782,0.4000,1.3060,0.3000,1.0060,0.0
6.463,0.0000,0.6782,0.4000,1.3015,0.3000,1.0015,0.0
6.563,0.0000,0.6782,0.4000,1.3019,0.3000,1.0019,0.0
6.664,0.0000,0.6782,0.4000,1.3068,0.3000,1.0068,0.0
6.764,0.0000,0.6782,0.4000,1.3061,0.3000,1.0061,0.0
6.864,0.0000,0.6782,0.4000,1.3097,0.3000,1.0097,0.0
6.964,0.0000,0.6782,0.4000,1.3056,0.3000,1.0056,0.0
7.064,0.0000,0.0000,0.4000,1.3058,0.3000,1.0058,200.0
7.164,1.7383,0.0400,0.4000,1.3055,0.3000,1.0055,217.5
7.264,0.0000,1.5919,0.4000,1.3012,0.3000,1.0012,252.5
7.364,1.7383,1.4436,0.4000,1.3056,0.3000,1.0056,255.0
7.464,1.7383,2.8442,0.4000,1.3008,0.3000,1.0008,255.0
7.564,3.4767,3.4711,0.4000,1.3007,0.3000,1.0007,255.0
7.664,3.4767,3.0340,0.4000,1.3008,0.3000,1.0008,255.0
7.764,5.2150,4.2193,0.4000,0.9890,0.3000,0.6890,-93.3
7.864,5.2150,5.7047,0.4000,1.3010,0.3000,1.0010,0.0
7.964,5.2150,4.8742,0.4000,1.3012,0.3000,1.0012,0.0
8.064,1.7383,2.1830,0.4000,1.3055,0.3000,1.0055,11.7
8.164,1.7383,2.5364,0.4000,1.2964,0.3000,0.9964,46.7
8.264,3.4767,3.1319,0.4000,1.3010,0.3000,1.0010,81.7
8.364,1.7383,1.3756,0.4000,1.3012,0.3000,1.0012,116.7
8.464,1.7383,2.2038,0.4000,1.3053,0.3000,1.0053,151.7
8.564,3.4767,2.2168,0.4000,1.3010,0.3000,1.0010,186.7
8.664,3.4767,1.9654,0.4000,1.3008,0.3000,1.0008,221.7
8.764,1.7383,3.2592,0.4000,1.3055,0.3000,1.0055,255.0
8.864,3.4767,3.7284,0.4000,1.2965,0.3000,0.9965,255.0
8.964,3.4767,3.3018,0.4000,1.3013,0.3000,1.0013,255.0
9.064,3.4767,4.0631,0.4000,1.3010,0.3000,1.0010,0.0
9.164,3.4767,3.3873,0.4000,1.2962,0.3000,0.9962,0.0
9.264,3.4767,2.8023,0.4000,1.2964,0.3000,0.9964,10.7
9.364,1.7383,1.9223,0.4000,1.3008,0.3000,1.0008,45.7
9.464,3.4767,2.2647,0.4000,1.3007,0.3000,1.0007,80.7
9.565,1.7383,2.0338,0.4000,1.3049,0.3000,1.0049,116.0
9.665,1.7383,2.2871,0.4000,1.2960,0.3000,0.9960,151.0
9.765,1.7383,3.6143,0.4000,1.3008,0.3000,1.0008,186.0
9.865,3.4767,4.3703,0.4000,1.3008,0.3000,1.0008,221.0
9.965,3.4767,2.3981,0.4000,1.2964,0.3000,0.9964,0.0
10.065,1.7383,1.7665,0.4000,1.3010,0.3000,1.0010,0.0
10.165,1.7383,1.0668,0.4000,1.3012,0.3000,1.0012,0.0
10.265,0.0000,1.0086,0.4000,1.3005,0.3000,1.0005,0.0
10.365,0.0000,1.1941,0.4000,1.3053,0.3000,1.0053,0.0
10.465,0.0000,1.1941,0.4000,1.3010,0.3000,1.0010,0.0
10.565,0.0000,1.1941,0.4000,1.3005,0.3000,1.0005,0.0
10.665,0.0000,1.1941,0.4000,1.3010,0.3000,1.0010,0.0
10.765,0.0000,1.1941,0.4000,1.3010,0.3000,1.0010,0.0
10.865,0.0000,1.1941,0.4000,1.3005,0.3000,1.0005,0.0
10.966,0.0000,1.1941,0.4000,1.2964,0.3000,0.9964,0.0
11.066,0.0000,1.1941,0.4000,1.3012,0.3000,1.0012,0.0
11.166,0.0000,1.1941,0.4000,1.2969,0.3000,0.9969,0.0
11.266,0.0000,1.1941,0.4000,1.3008,0.3000,1.0008,0.0
11.366,0.0000,1.1941,0.4000,1.3007,0.3000,1.0007,0.0
11.466,0.0000,1.1941,0.4000,1.3010,0.3000,1.0010,0.0
11.566,0.0000,1.1941,0.4000,1.3008,0.3000,1.0008,0.0
11.666,0.0000,1.1941,0.4000,1.3008,0.3000,1.0008,29.0
11.766,0.0000,1.1941,0.4000,1.3010,0.3000,1.0010,64.0
11.866,0.0000,1.1941,0.4000,1.3008,0.3000,1.0008,99.0
11.966,0.0000,1.1941,0.4000,1.3012,0.3000,1.0012,134.0
12.066,0.0000,1.1941,0.4000,1.3013,0.3000,1.0013,169.0
12.166,0.0000,1.1941,0.4000,1.3007,0.3000,1.0007,204.0
12.266,0.0000,1.1941,0.4000,1.3012,0.3000,1.0012,239.0
12.366,1.7383,0.0420,0.4000,1.3055,0.3000,1.0055,217.5
12.466,1.7383,0.9537,0.4000,1.3007,0.3000,1.0007,252.5
12.566,3.4767,2.3033,0.4000,1.3010,0.3000,1.0010,255.0
12.666,3.4767,4.5842,0.4000,1.3010,0.3000,1.0010,255.0
12.766,3.4767,5.2524,0.4000,1.3058,0.3000,1.0058,255.0
12.866,5.2150,4.1193,0.4000,1.0108,0.3000,0.7108,237.5
12.966,3.4767,4.5746,0.4000,1.3007,0.3000,1.0007,255.0
13.066,5.2150,4.5813,0.4000,1.3010,0.3000,1.0010,255.0
13.166,6.9534,5.0817,0.4000,0.5932,0.3000,0.2932,-11.3
13.266,3.4767,3.4096,0.4000,1.2964,0.3000,0.9964,23.7
13.366,3.4767,3.6668,0.4000,1.3008,0.3000,1.0008,58.7
13.466,3.4767,3.4524,0.4000,1.2919,0.3000,0.9919,93.7
13.566,3.4767,3.2918,0.4000,1.3012,0.3000,1.0012,128.7
13.666,3.4767,3.3486,0.4000,1.3013,0.3000,1.0013,163.7
13.766,3.4767,3.5093,0.4000,1.3010,0.3000,1.0010,198.7
13.867,5.1128,5.9910,0.4000,1.3056,0.3000,1.0056,234.0
13.967,3.4767,6.0595,0.4000,0.8724,0.3000,0.5724,0.0
14.067,1.7383,2.5462,0.4000,1.2965,0.3000,0.9965,0.0
14.167,1.7383,1.6153,0.4000,1.3005,0.3000,1.0005,0.0
14.267,1.7383,2.7216,0.4000,1.3010,0.3000,1.0010,0.0
14.367,0.0000,1.5499,0.4000,1.3007,0.3000,1.0007,0.0
14.467,0.0000,0.9185,0.4000,1.3007,0.3000,1.0007,0.0
14.567,0.0000,0.7352,0.4000,1.3010,0.3000,1.0010,0.0
14.667,0.0000,0.7352,0.4000,1.3007,0.3000,1.0007,0.0
14.767,0.0000,0.7352,0.4000,1.3012,0.3000,1.0012,0.0
