#correcteur=P,Kp=50.0,Ki=8.0,Kd=5.0
t_s,vitesse_freq_ms,vitesse_periode_ms,consigne_vitesse_ms,distance_m,consigne_dist_m,erreur_m,commande_pwm
2.932,1.7383,0.0000,0.4000,1.3399,0.3000,1.0399,200.0
3.032,0.0000,0.0000,0.4000,1.3415,0.3000,1.0415,200.0
3.132,0.0000,0.5774,0.4000,1.3363,0.3000,1.0363,165.0
3.232,1.7383,1.4297,0.4000,1.3399,0.3000,1.0399,130.0
3.332,1.7383,1.7001,0.4000,1.3360,0.3000,1.0360,95.0
3.432,0.0000,1.2588,0.4000,1.3356,0.3000,1.0356,60.0
3.532,0.0000,2.2245,0.4000,1.3401,0.3000,1.0401,52.0
3.632,0.0000,1.4340,0.4000,1.3356,0.3000,1.0356,51.8
3.732,0.0000,0.8698,0.4000,1.3314,0.3000,1.0314,51.6
3.832,1.7383,1.0371,0.4000,1.3403,0.3000,1.0403,52.0
3.933,0.0000,1.0371,0.4000,1.3403,0.3000,1.0403,52.0
4.033,1.7383,0.4675,0.4000,1.3356,0.3000,1.0356,51.8
4.133,0.0000,0.4675,0.4000,1.3410,0.3000,1.0410,52.0
4.233,0.0000,0.4675,0.4000,1.3410,0.3000,1.0410,52.0
4.333,0.0000,0.4675,0.4000,1.3404,0.3000,1.0404,52.0
4.433,0.0000,0.4675,0.4000,1.3401,0.3000,1.0401,52.0
4.533,0.0000,0.4675,0.4000,1.3362,0.3000,1.0362,51.8
4.633,0.0000,0.4675,0.4000,1.3379,0.3000,1.0379,51.9
4.733,0.0000,0.4675,0.4000,1.3415,0.3000,1.0415,52.1
4.833,0.0000,0.4675,0.4000,1.3408,0.3000,1.0408,52.0
4.933,0.0000,0.4675,0.4000,1.3360,0.3000,1.0360,51.8
5.033,0.0000,0.4675,0.4000,1.3399,0.3000,1.0399,52.0
5.133,0.0000,0.4675,0.4000,0.0811,0.3000,-0.2189,-255.0
5.233,1.7383,0.0730,0.4000,0.0880,0.3000,-0.2120,-255.0
5.334,3.4085,2.1358,0.4000,0.0947,0.3000,-0.2053,-255.0
5.434,1.7383,1.5388,0.4000,0.1204,0.3000,-0.1796,-9.0
5.534,1.7383,2.2768,0.4000,0.1838,0.3000,-0.1162,-5.8
5.634,1.7383,1.2543,0.4000,0.2734,0.3000,-0.0266,-1.3
5.734,0.0000,1.2543,0.4000,0.3006,0.3000,0.0006,0.0
5.834,0.0000,1.2543,0.4000,0.2979,0.3000,-0.0021,-0.1
5.934,0.0000,1.2543,0.4000,0.3084,0.3000,0.0084,0.4
6.034,0.0000,1.2543,0.4000,0.3271,0.3000,0.0271,1.4
6.134,0.0000,1.2543,0.4000,0.3216,0.3000,0.0216,1.1
6.234,0.0000,1.2543,0.4000,0.2926,0.3000,-0.0074,-0.4
6.334,0.0000,1.2543,0.4000,1.3399,0.3000,1.0399,15.3
6.434,0.0000,1.2543,0.4000,1.3399,0.3000,1.0399,50.3
6.534,0.0000,1.2543,0.4000,1.3355,0.3000,1.0355,51.8
6.634,0.0000,1.2543,0.4000,1.3353,0.3000,1.0353,51.8
6.734,0.0000,1.2543,0.4000,1.3351,0.3000,1.0351,51.8
6.834,0.0000,1.2543,0.4000,1.3399,0.3000,1.0399,52.0
6.934,0.0000,1.2543,0.4000,1.3350,0.3000,1.0350,51.7
7.034,0.0000,1.2543,0.4000,1.3401,0.3000,1.0401,52.0
7.134,0.0000,1.2543,0.4000,1.3358,0.3000,1.0358,51.8
7.234,0.0000,1.2543,0.4000,1.3399,0.3000,1.0399,52.0
7.334,0.0000,1.2543,0.4000,1.3403,0.3000,1.0403,52.0
7.434,0.0000,1.2543,0.4000,1.3355,0.3000,1.0355,51.8
7.534,0.0000,1.2543,0.4000,1.3356,0.3000,1.0356,51.8
7.634,0.0000,0.0000,0.4000,1.3416,0.3000,1.0416,200.0
7.734,0.0000,0.0000,0.4000,1.3494,0.3000,1.0494,200.0
7.834,1.7383,0.0388,0.4000,1.7798,0.3000,1.4798,182.5
7.934,3.4767,0.0388,0.4000,1.7821,0.3000,1.4821,147.5
8.034,1.7383,1.5121,0.4000,1.3547,0.3000,1.0547,112.5
8.134,1.7383,1.1323,0.4000,1.7927,0.3000,1.4927,77.5
8.235,1.7043,2.3458,0.4000,-1.0000,0.3000,-1.9458,-97.3
8.335,0.0000,1.5204,0.4000,1.3530,0.3000,1.0530,0.0
8.435,0.0000,1.5204,0.4000,1.7925,0.3000,1.4925,0.0
8.535,0.0000,1.5204,0.4000,1.8016,0.3000,1.5016,31.5
8.635,0.0000,1.5204,0.4000,-1.0000,0.3000,-1.1204,-56.0
8.735,0.0000,1.5204,0.4000,1.8023,0.3000,1.5023,0.0
8.835,0.0000,1.5204,0.4000,1.7982,0.3000,1.4982,14.0
8.935,0.0000,1.5204,0.4000,1.7937,0.3000,1.4937,49.0
9.035,0.0000,1.5204,0.4000,1.7935,0.3000,1.4935,74.7
9.135,0.0000,1.5204,0.4000,1.8515,0.3000,1.5515,77.6
9.235,0.0000,1.5204,0.4000,1.8435,0.3000,1.5435,77.2
9.335,0.0000,1.5204,0.4000,1.8447,0.3000,1.5447,77.2
9.435,0.0000,1.5204,0.4000,1.8448,0.3000,1.5448,77.2
9.535,0.0000,1.5204,0.4000,1.8407,0.3000,1.5407,77.0
9.635,0.0000,1.5204,0.4000,1.8405,0.3000,1.5405,77.0
9.736,0.0000,1.5204,0.4000,1.8373,0.3000,1.5373,76.9
9.836,0.0000,1.5204,0.4000,1.8371,0.3000,1.5371,76.9
9.936,0.0000,1.5204,0.4000,1.8421,0.3000,1.5421,77.1
10.036,0.0000,1.5204,0.4000,1.8435,0.3000,1.5435,77.2
10.136,0.0000,1.5204,0.4000,1.8498,0.3000,1.5498,77.5
10.236,0.0000,1.5204,0.4000,1.8517,0.3000,1.5517,77.6
10.336,0.0000,0.0000,0.4000,1.8620,0.3000,1.5620,200.0
10.436,0.0000,0.0410,0.4000,1.8563,0.3000,1.5563,165.0
10.536,1.7383,0.6580,0.4000,1.8706,0.3000,1.5706,130.0
10.636,1.7383,1.2785,0.4000,1.8743,0.3000,1.5743,95.0
10.736,1.7383,0.9544,0.4000,-1.0000,0.3000,-0.5544,-27.7
10.836,3.4767,0.9544,0.4000,-1.0000,0.3000,-0.5544,-27.7
10.936,1.7383,0.9628,0.4000,1.8843,0.3000,1.5843,0.0
11.036,0.0000,0.9628,0.4000,-1.0000,0.3000,-0.5628,-28.1
11.136,0.0000,0.9628,0.4000,-1.0000,0.3000,-0.5628,-28.1
11.236,0.0000,0.9628,0.4000,-1.0000,0.3000,-0.5628,-28.1
11.336,0.0000,0.9628,0.4000,-1.0000,0.3000,-0.5628,-28.1
11.436,0.0000,0.9628,0.4000,-1.0000,0.3000,-0.5628,-28.1
11.536,0.0000,0.9628,0.4000,-1.0000,0.3000,-0.5628,-28.1
11.636,0.0000,0.9628,0.4000,-1.0000,0.3000,-0.5628,-28.1
11.736,0.0000,0.9628,0.4000,-1.0000,0.3000,-0.5628,-28.1
11.836,0.0000,0.9628,0.4000,-1.0000,0.3000,-0.5628,-28.1
11.936,0.0000,0.9628,0.4000,-1.0000,0.3000,-0.5628,-28.1
12.036,0.0000,0.9628,0.4000,-1.0000,0.3000,-0.5628,-28.1
12.136,0.0000,0.9628,0.4000,-1.0000,0.3000,-0.5628,-28.1
12.236,0.0000,0.9628,0.4000,-1.0000,0.3000,-0.5628,-28.1
12.336,0.0000,0.9628,0.4000,-1.0000,0.3000,-0.5628,-28.1
