#correcteur=PID,Kp=100.0,Ki=50.0,Kd=70.0
t_s,vitesse_freq_ms,vitesse_periode_ms,consigne_vitesse_ms,distance_m,consigne_dist_m,erreur_m,commande_pwm
2.290,0.0000,0.0000,1.0000,1.3202,0.3000,1.0202,200.0
2.390,0.0000,0.0000,1.0000,1.3200,0.3000,1.0200,200.0
2.490,1.7383,1.2352,1.0000,1.3197,0.3000,1.0197,182.5
2.590,1.7383,1.8245,1.0000,1.3200,0.3000,1.0200,147.5
2.690,1.7383,1.9427,1.0000,1.3200,0.3000,1.0200,128.0
2.790,0.0000,2.2854,1.0000,1.3242,0.3000,1.0242,135.0
2.890,1.7383,3.5212,1.0000,1.3193,0.3000,1.0193,136.7
2.990,1.7383,2.3968,1.0000,1.3157,0.3000,1.0157,136.9
3.090,1.7383,2.0388,1.0000,1.3152,0.3000,1.0152,136.9
3.190,1.7383,2.9901,1.0000,1.3152,0.3000,1.0152,136.9
3.290,3.4767,3.0583,1.0000,1.3199,0.3000,1.0199,164.3
3.390,5.2150,3.3109,1.0000,1.3195,0.3000,1.0195,163.4
3.490,5.2150,3.5810,1.0000,1.3197,0.3000,1.0197,169.7
3.590,5.2150,3.7738,1.0000,1.3199,0.3000,1.0199,175.3
3.690,5.2150,3.8008,1.0000,1.3197,0.3000,1.0197,185.2
3.790,3.4767,4.0991,1.0000,1.3195,0.3000,1.0195,179.2
3.890,3.4767,3.1556,1.0000,1.3199,0.3000,1.0199,179.2
3.990,3.4767,3.2568,1.0000,1.3269,0.3000,1.0269,199.8
4.090,5.2150,6.8764,1.0000,1.3221,0.3000,1.0221,199.8
4.190,5.2150,4.8427,1.0000,1.3200,0.3000,1.0200,209.2
4.290,3.4767,3.6686,1.0000,1.3228,0.3000,1.0228,210.2
4.390,5.2150,7.5240,1.0000,1.3200,0.3000,1.0200,217.9
4.490,5.2150,3.9415,1.0000,1.3302,0.3000,1.0302,226.8
4.590,5.2150,8.2527,1.0000,1.3312,0.3000,1.0312,226.8
4.690,5.2150,3.5593,1.0000,1.3260,0.3000,1.0260,0.0
4.790,1.7383,3.0264,1.0000,1.7646,0.3000,1.4646,0.0
4.890,1.7383,2.4249,1.0000,1.3233,0.3000,1.0233,0.0
4.990,1.7383,1.9819,1.0000,1.3200,0.3000,1.0200,0.0
5.090,1.7383,1.1573,1.0000,1.3266,0.3000,1.0266,0.0
5.190,0.0000,1.1715,1.0000,1.3235,0.3000,1.0235,0.0
5.291,0.0000,1.3689,1.0000,1.3281,0.3000,1.0281,0.0
5.391,0.0000,1.3689,1.0000,1.3284,0.3000,1.0284,0.0
5.491,0.0000,1.3689,1.0000,1.3324,0.3000,1.0324,0.0
5.591,0.0000,1.3689,1.0000,1.3279,0.3000,1.0279,0.0
5.691,0.0000,1.3689,1.0000,1.3278,0.3000,1.0278,0.0
5.791,0.0000,1.3689,1.0000,1.3283,0.3000,1.0283,0.0
5.891,0.0000,1.3689,1.0000,1.3238,0.3000,1.0238,11.9
5.991,0.0000,1.3689,1.0000,1.3238,0.3000,1.0238,46.9
6.091,0.0000,1.3689,1.0000,1.3199,0.3000,1.0199,81.9
6.191,0.0000,1.3689,1.0000,1.3197,0.3000,1.0197,116.9
6.291,0.0000,1.3689,1.0000,1.3279,0.3000,1.0279,151.9
6.391,0.0000,1.3689,1.0000,1.3236,0.3000,1.0236,186.9
6.491,0.0000,1.3689,1.0000,1.3236,0.3000,1.0236,221.9
6.591,1.7383,0.0642,1.0000,1.3272,0.3000,1.0272,255.0
