#correcteur=PID,Kp=12.0,Ki=3.0,Kd=0.5,FF=197.7,Vc=0.40
t_s,vitesse_freq_ms,vitesse_periode_ms,consigne_vitesse_ms,distance_m,consigne_dist_m,erreur_m,commande_pwm
10.964,0.0000,0.0000,0.4000,0.7002,0.3000,0.4002,190.0
11.064,0.0000,0.0000,0.4000,0.6418,0.3000,0.3418,190.0
11.164,0.0000,1.0932,0.4000,0.5876,0.3000,0.2876,-255.0
11.264,1.7383,0.9267,0.4000,0.6716,0.3000,0.3716,0.0
11.364,1.7383,0.8651,0.4000,0.7025,0.3000,0.4025,0.0
11.464,0.0000,0.9305,0.4000,0.5900,0.3000,0.2900,0.0
11.564,0.0000,0.9626,0.4000,0.6129,0.3000,0.3129,0.0
11.664,0.0000,0.9783,0.4000,0.7019,0.3000,0.4019,0.0
11.764,0.0000,0.0000,0.4000,0.5668,0.3000,0.2668,0.0
11.864,0.0000,0.0000,0.4000,0.6327,0.3000,0.3327,190.0
11.964,0.0000,0.1522,0.4000,0.5982,0.3000,0.2982,162.7
12.064,0.0000,0.6032,0.4000,0.6102,0.3000,0.3102,127.7
12.164,0.0000,0.8483,0.4000,0.6707,0.3000,0.3707,92.7
12.264,1.7383,0.9886,0.4000,0.6887,0.3000,0.3887,57.7
12.364,0.0000,1.4557,0.4000,0.7889,0.3000,0.4889,-255.0
12.464,0.0000,1.6845,0.4000,0.7277,0.3000,0.4277,-255.0
12.564,1.7383,1.4204,0.4000,0.8383,0.3000,0.5383,0.0
12.664,0.0000,1.3908,0.4000,0.6831,0.3000,0.3831,-255.0
12.765,1.7383,1.3517,0.4000,0.6815,0.3000,0.3815,-255.0
12.865,1.7383,1.7505,0.4000,0.7947,0.3000,0.4947,-255.0
12.965,3.4767,2.5062,0.4000,0.6454,0.3000,0.3454,-255.0
13.065,3.4767,2.7882,0.4000,0.6213,0.3000,0.3213,-255.0
13.165,3.4767,3.1254,0.4000,0.6212,0.3000,0.3212,-255.0
13.265,3.4767,2.8977,0.4000,0.5843,0.3000,0.2843,-255.0
13.365,1.7383,2.6990,0.4000,0.6171,0.3000,0.3171,-255.0
