#correcteur=PID,Kp=100.0,Ki=50.0,Kd=70.0
t_s,vitesse_freq_ms,vitesse_periode_ms,consigne_vitesse_ms,distance_m,consigne_dist_m,erreur_m,commande_pwm
7.552,0.0000,0.0000,0.4000,1.2983,0.3000,0.9983,200.0
7.652,1.7383,0.0000,0.4000,1.2986,0.3000,0.9986,200.0
7.752,1.7383,1.5980,0.4000,1.2986,0.3000,0.9986,182.5
7.852,1.7383,1.2909,0.4000,1.2986,0.3000,0.9986,147.5
7.952,3.4767,2.1795,0.4000,1.2986,0.3000,0.9986,137.3
8.052,1.7383,2.2022,0.4000,1.2984,0.3000,0.9984,130.0
8.152,1.7383,1.7659,0.4000,1.2986,0.3000,0.9986,135.1
8.252,3.4767,2.6744,0.4000,1.2941,0.3000,0.9941,134.1
8.352,3.4767,4.1579,0.4000,1.2983,0.3000,0.9983,145.2
8.452,3.4767,2.7908,0.4000,1.2981,0.3000,0.9981,149.7
8.552,1.7383,2.2303,0.4000,1.3027,0.3000,1.0027,155.7
8.652,3.4767,2.4251,0.4000,1.3022,0.3000,1.0022,165.9
8.752,1.7383,3.3689,0.4000,1.2979,0.3000,0.9979,164.2
