#correcteur=PID,Kp=80.0,Ki=5.0,Kd=10.0
t_s,vitesse_freq_ms,vitesse_periode_ms,consigne_vitesse_ms,distance_m,consigne_dist_m,erreur_m,commande_pwm
2.259,0.0000,0.0000,0.4000,0.6783,0.3000,0.3783,35.0
2.359,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,70.0
2.459,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,105.0
2.560,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,140.4
2.660,0.0000,0.0000,0.4000,0.6982,0.3000,0.3982,150.1
2.760,0.0000,0.0000,0.4000,0.6689,0.3000,0.3689,150.0
2.860,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,150.1
2.960,0.0000,0.0000,0.4000,0.6872,0.3000,0.3872,150.1
3.060,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,150.1
3.160,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,150.3
3.260,0.0000,0.0000,0.4000,0.6917,0.3000,0.3917,150.1
3.360,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,150.2
3.460,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,150.4
3.560,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,150.6
3.660,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,150.8
3.760,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,151.0
