#correcteur=PID,Kp=100.0,Ki=0.0,Kd=0.0
t_s,vitesse_freq_ms,vitesse_periode_ms,consigne_vitesse_ms,distance_m,consigne_dist_m,erreur_m,commande_pwm
53.738,0.0000,0.0000,0.4000,1.3121,0.3000,1.0121,200.0
53.838,0.0000,0.0000,0.4000,1.3075,0.3000,1.0075,200.0
53.938,0.0000,0.0053,0.4000,1.2983,0.3000,0.9983,200.0
54.038,3.4767,2.8089,0.4000,1.3116,0.3000,1.0116,165.0
54.138,1.7383,1.3817,0.4000,0.1238,0.3000,-0.1762,-17.6
54.238,0.0000,1.3817,0.4000,0.1804,0.3000,-0.1196,-12.0
54.338,0.0000,0.7367,0.4000,0.2437,0.3000,-0.0563,-5.6
54.438,0.0000,0.7367,0.4000,1.3154,0.3000,1.0154,29.4
54.538,0.0000,0.7367,0.4000,1.3164,0.3000,1.0164,64.4
54.638,0.0000,0.7367,0.4000,1.3159,0.3000,1.0159,99.4
54.738,0.0000,0.3245,0.4000,1.3204,0.3000,1.0204,102.0
54.838,0.0000,0.3245,0.4000,1.3156,0.3000,1.0156,101.6
54.938,0.0000,0.3245,0.4000,1.3243,0.3000,1.0243,102.4
55.038,0.0000,0.3245,0.4000,1.3200,0.3000,1.0200,102.0
55.138,0.0000,0.3245,0.4000,1.3204,0.3000,1.0204,102.0
55.238,0.0000,0.3245,0.4000,1.3200,0.3000,1.0200,102.0
55.339,0.0000,0.3245,0.4000,1.3284,0.3000,1.0284,102.8
55.439,0.0000,0.3245,0.4000,1.3242,0.3000,1.0242,102.4
55.539,0.0000,0.3245,0.4000,0.5973,0.3000,0.2973,85.4
55.639,0.0000,0.3245,0.4000,0.6201,0.3000,0.3201,84.9
55.739,0.0000,0.3245,0.4000,1.3195,0.3000,1.0195,102.0
55.839,0.0000,0.3245,0.4000,1.3319,0.3000,1.0319,103.2
55.939,0.0000,0.3245,0.4000,1.3281,0.3000,1.0281,102.8
56.039,0.0000,0.3245,0.4000,1.3157,0.3000,1.0157,101.6
56.139,0.0000,0.3245,0.4000,1.3284,0.3000,1.0284,102.8
56.239,0.0000,0.3245,0.4000,1.3283,0.3000,1.0283,102.8
56.339,0.0000,0.3245,0.4000,1.3242,0.3000,1.0242,102.4
56.439,0.0000,0.3245,0.4000,1.3202,0.3000,1.0202,102.0
56.539,0.0000,0.3245,0.4000,1.3245,0.3000,1.0245,102.4
